STATE,year,total_damage,event_count,home_value,disaster_count,population,housing_units,exposure,damage_per_capita,risk_score,norm_damage,norm_events,norm_fema,norm_exposure,risk_score_norm,next_risk
MASSACHUSETTS,2018,5574800.0,108,499272.480413187,11.0,7029917.0,2998537.0,1497087005600.7166,0.7930107851913472,299420188542.8433,0.0003002493516252914,0.12272727272727273,0.01765650080256822,0.16904151075709709,0.07714365759349061,0.06813954006810906
MASSACHUSETTS,2019,4953300.0,67,519879.43068149214,0.0,7029917.0,2998537.0,1558877708437.3894,0.7046029135194626,311778018350.8779,0.00026677640693936207,0.07613636363636364,0.0,0.1760185225935353,0.06813954006810906,0.0763566358049017
MASSACHUSETTS,2020,125700.0,70,542940.0553424333,33.0,7029917.0,2998537.0,1628025844726.3337,0.01788072320057264,325605231812.5668,6.769990582496075e-06,0.07954545454545454,0.052969502407704656,0.18382628886269112,0.0763566358049017,0.07716250401043626
MASSACHUSETTS,2021,149400.0,59,626050.9141954049,1.0,7029917.0,2998537.0,1877236830098.7466,0.021252029006885855,375447440731.64935,8.046432720961923e-06,0.06704545454545455,0.0016051364365971107,0.21196560294865752,0.07716250401043626,0.07870197779992118
MASSACHUSETTS,2022,34000.0,21,719937.0575419855,5.0,7029917.0,2998537.0,2158757904710.7727,0.00483647246475314,431751597946.85455,1.8311828146767428e-06,0.023863636363636365,0.008025682182985553,0.2437531661192316,0.07870197779992118,0.09572155426674084
MASSACHUSETTS,2023,1737500.0,80,740899.0260029652,14.0,7029917.0,2998537.0,2221613142733.853,0.24715796786789943,444323497314.17065,9.357882766178944e-05,0.09090909090909091,0.02247191011235955,0.2508503784754066,0.09572155426674084,0.08197349912283101
MASSACHUSETTS,2025,35000.0,5,795847.5308500746,0.0,7029917.0,2998537.0,2386378267612.5903,0.004978721654892939,477275671023.51807,1.8850411327554705e-06,0.005681818181818182,0.0,0.2694546049000476,0.08197349912283101,
MICHIGAN,2015,5441000.0,19,120796.29168119983,0.0,10077331.0,4570173.0,552059950741.5441,0.5399247082387192,110414710652.10883,0.0002930431086663576,0.02159090909090909,0.0,0.062335086573270665,0.02313592503362956,0.025121412487241146
MICHIGAN,2016,5705000.0,23,126675.71115508997,1.0,10077331.0,4570173.0,578929914876.791,0.5661221210258947,115788835480.05821,0.0003072617046391417,0.026136363636363635,0.0016051364365971107,0.06536907144817684,0.025121412487241146,0.027954978319045403
MICHIGAN,2017,91483000.0,21,132867.97369349183,4.0,10077331.0,4570173.0,607229625938.7067,9.078098159125666,121491666692.34134,0.004927120512796249,0.023863636363636365,0.006420545746388443,0.06856449422186929,0.027954978319045403,0.02908767611469855
MICHIGAN,2018,12395000.0,28,141950.83073280973,3.0,10077331.0,4570173.0,648739853942.6572,1.2299883768827282,129754168294.43144,0.0006675738525858303,0.031818181818181815,0.004815409309791332,0.07325156426349573,0.02908767611469855,0.03350187153145321
MICHIGAN,2019,42437000.0,42,148841.2807024987,0.0,10077331.0,4570173.0,680230402351.9806,4.211134872914267,136067298978.79611,0.0022855854443069685,0.04772727272727273,0.0,0.07680727602758625,0.03350187153145321,0.07096049942142885
MICHIGAN,2020,50744000.0,61,159572.63212807276,195.0,10077331.0,4570173.0,729274534890.6506,5.03546028209255,145880279009.83014,0.00273298649258696,0.06931818181818182,0.3130016051364366,0.08234502649038014,0.07096049942142885,0.03600849426851913
MICHIGAN,2021,17905000.0,28,183815.49769229404,5.0,10077331.0,4570173.0,840068624534.8845,1.7767601361908227,168022677413.07693,0.00096433318519962,0.031818181818181815,0.008025682182985553,0.09485518804168122,0.03600849426851913,0.03802250622783803
MICHIGAN,2022,53056000.0,23,204457.9976770555,0.0,10077331.0,4570173.0,934408420617.7418,5.264886109228724,186908212128.14838,0.0028575069239849785,0.026136363636363635,0.0,0.10550743576990439,0.03802250622783803,0.04549235074590316
